node_id,osm_node_id,osm_highway,lat,lng
87,595703322,crossing,-73.9645609,40.7916175
784,7925258564,crossing,-73.9319497,40.8004983
954,42439653,crossing,-73.9398011,40.8299196
1293,5173594703,crossing,-73.9848249,40.7176795
1454,42448828,crossing,-73.9517345,40.7603624
1633,2300353444,crossing,-73.9544042,40.755688
2110,3247295579,crossing,-73.958402,40.8007563
2200,3584752195,crossing,-73.9965063,40.7295311
2310,4335349960,crossing,-73.8774899,40.6438905
2311,4677482992,crossing,-73.8772108,40.6435701
2524,42466883,crossing,-73.9720829,40.5903461
2678,42468757,crossing,-74.001818,40.581068
2681,42468770,crossing,-74.0006735,40.5748842
2702,1942053104,crossing,-73.9710771,40.6259615
2730,42469541,crossing,-73.9847669,40.5933664
2774,4335349959,crossing,-73.8776132,40.6438802
2824,42470933,crossing,-73.9849243,40.6053167
3057,42473880,crossing,-73.959677,40.591707
3136,42475271,crossing,-73.9569788,40.5868743
3137,598788322,crossing,-73.9567118,40.5854861
3145,42475310,crossing,-73.95753,40.589782
3210,42476036,crossing,-73.997391,40.6956485
3412,42478882,crossing,-73.9974987,40.5752343
3420,42475155,crossing,-73.8889498,40.6821985
4140,42470942,crossing,-73.9821409,40.6056243
4286,42464397,crossing,-73.9379425,40.5783567
4287,1167630417,crossing,-73.937946,40.5784376
4428,9654527113,crossing,-73.9848297,40.5937334
4476,1167643922,crossing,-73.9510029,40.5771302
4478,3556787833,crossing,-73.9994413,40.6723003
4565,9654527114,crossing,-73.9853148,40.5962894
4674,1167644544,crossing,-73.9482416,40.5774268
4694,42494919,crossing,-73.986272,40.692195
4904,42497110,crossing,-73.9580382,40.5867499
5190,1167643134,crossing,-73.9453815,40.5777428
5279,42501348,crossing,-73.9783953,40.6120077
5289,1167630661,crossing,-73.9407508,40.5782504
5425,42490710,crossing,-73.9548487,40.5773845
5427,42492777,crossing,-73.955213,40.577505
5567,42501396,crossing,-74.003607,40.5789011
5938,4593135584,crossing,-73.9581174,40.7363151
5967,42477497,crossing,-73.9320657,40.5842972
6071,2282434905,crossing,-73.9666185,40.5858718
6115,42511848,crossing,-73.964264,40.589041
6156,2282434930,crossing,-73.9655924,40.59032
6339,1167645331,crossing,-73.9425987,40.5780484
6602,2282434917,crossing,-73.9661106,40.5880957
6603,42495325,crossing,-73.967834,40.58791
6955,42521351,crossing,-73.974227,40.588706
7201,42492773,crossing,-73.9566534,40.5779476
7216,1167644433,crossing,-73.9491648,40.5773298
7355,42505040,crossing,-74.0021695,40.5770181
7356,42508996,crossing,-74.0017408,40.5747644
7358,42525010,crossing,-74.002906,40.580945
7407,42525366,crossing,-73.9849999,40.6057296
7488,42492775,crossing,-73.9557292,40.5776654
7490,42492774,crossing,-73.9560637,40.5777701
7551,42495328,crossing,-73.967702,40.587234
7552,2282434913,crossing,-73.9662805,40.5873922
7564,1167645398,crossing,-73.9416619,40.5781526
7765,1167643058,crossing,-73.9462952,40.5776429
7821,1167630572,crossing,-73.9388726,40.5784216
7827,2282434943,crossing,-73.9652341,40.5918278
7938,2356694543,crossing,-73.9393428,40.5783187
7946,2282434925,crossing,-73.9657516,40.5896083
8135,1167644902,crossing,-73.9444577,40.5778448
8160,454381278,crossing,-73.969744,40.6193783
8232,9609965253,crossing,-73.9733378,40.611393
8260,6641844523,crossing,-73.967701,40.5784192
8378,3509309097,crossing,-73.9802897,40.6058226
8430,9654528021,crossing,-73.9844952,40.593568
8468,9654528026,crossing,-73.9840436,40.5911837
8490,42520808,crossing,-73.9574772,40.7291692
8511,42535790,crossing,-73.9707507,40.5883332
8514,42495322,crossing,-73.96797,40.588632
8515,42516961,crossing,-73.967047,40.588738
8519,42535803,crossing,-73.963369,40.589136
8547,42535920,crossing,-73.9703494,40.5862075
8549,42535925,crossing,-73.9684989,40.5864123
8550,42495331,crossing,-73.9675661,40.5865155
8559,1167630612,crossing,-73.9398093,40.578358
8602,1167642566,crossing,-73.9519228,40.5770304
8687,1167644163,crossing,-73.9500865,40.5772301
8757,42475089,crossing,-74.003875,40.5803033
8775,42508988,crossing,-73.9985528,40.5751186
8866,3527276326,crossing,-73.91983,40.6072344
8897,42535415,crossing,-73.963774,40.591257
10490,9190652219,crossing,-73.8325405,40.8470571
10835,42746427,crossing,-73.8285853,40.8557427
11458,5177396175,crossing,-73.8826151,40.8232691
11564,42736578,crossing,-73.8410935,40.876031
11955,42738960,crossing,-73.8434154,40.8414982
12549,5499386505,crossing,-73.8299903,40.851624
13085,42774225,crossing,-73.7920333,40.8558021
13230,9335899394,crossing,-73.8101609,40.8185108
13263,42769941,crossing,-73.9205223,40.8468757
13529,5499452075,crossing,-73.8246247,40.8340151
15113,42807546,crossing,-73.9384589,40.7667686
15358,7761699995,crossing,-73.8028471,40.7615655
15691,42811742,crossing,-73.8081472,40.7339275
16322,3779788084,crossing,-73.7932237,40.7863631
16481,5155335229,crossing,-73.775453,40.7794038
17543,42830681,crossing,-73.8306573,40.6605026
17556,42830828,crossing,-73.8514819,40.7883738
18003,8329072048,crossing,-73.7795387,40.7925613
18035,42834482,crossing,-73.8076034,40.7338857
18100,3779065621,crossing,-73.8264149,40.7867326
19731,5427829197,crossing,-73.7865909,40.786379
19791,42791404,crossing,-73.7991054,40.761617
20056,7745197945,crossing,-73.9302601,40.7719003
20120,8996309465,crossing,-73.7706218,40.7569359
20130,8430423678,crossing,-73.9166532,40.5604878
20495,4927558995,crossing,-73.8861314,40.7649835
20992,42862892,crossing,-73.834205,40.694937
21845,8300725832,crossing,-73.8420214,40.7637016
21847,5173032607,crossing,-73.8468792,40.723031
21877,42846604,crossing,-73.7684681,40.6862645
21977,2447752392,crossing,-73.8643453,40.7612877
22119,5680624679,crossing,-73.8587977,40.750794
22222,3769845857,crossing,-73.7771723,40.7946055
22607,2447712375,crossing,-73.8704006,40.7622028
23053,42818305,crossing,-73.7723374,40.7811274
23359,7574889339,crossing,-73.7771805,40.7088301
23612,2367437234,crossing,-73.8881103,40.7684643
23826,7761532360,crossing,-73.7940206,40.7578643
23986,5489324977,crossing,-73.8206464,40.7194894
24397,42895695,crossing,-73.7272861,40.6906891
25026,7272082248,crossing,-73.7936332,40.6689096
25034,42901270,crossing,-73.803141,40.795371
25933,5380513700,crossing,-73.8573529,40.7439223
26785,42813942,crossing,-73.9134434,40.5599985
26787,7776177485,crossing,-73.7576482,40.7062597
26788,7776128984,crossing,-73.7574162,40.7060836
27161,5921877075,crossing,-73.7937767,40.6894869
27550,42922409,crossing,-73.9038132,40.7779652
28349,42932562,crossing,-73.7860895,40.777555
28458,7785225584,crossing,-73.8177808,40.7492432
29278,5137382120,crossing,-73.7685424,40.7124382
29402,5046116972,crossing,-73.919202,40.5592247
29404,42941559,crossing,-73.9136815,40.5585773
30478,42952828,crossing,-74.0746765,40.6198655
30918,6655133077,crossing,-74.1634774,40.5489099
33020,6654346499,crossing,-74.1637799,40.5510667
34125,4697557402,crossing,-74.0777946,40.6303207
34751,6654345986,crossing,-74.1666004,40.550631
36237,736485683,crossing,-74.060208,40.5953148
37050,5490206647,crossing,-74.1192408,40.610988
37161,43021297,crossing,-74.077565,40.633315
37218,43021918,crossing,-74.1703968,40.6399281
37507,4482096795,crossing,-74.1359697,40.5567735
38105,7372860099,crossing,-73.9885349,40.7428568
38116,5730369220,crossing,-74.006123,40.7501036
47417,5406365803,crossing,-73.8457606,40.7605289
47756,3938689545,crossing,-73.8317211,40.7278084
47866,278218249,crossing,-73.8828177,40.5675958
47868,4436944927,crossing,-73.8828512,40.5676519
47870,2395267691,crossing,-73.8777096,40.5675853
47871,278220631,crossing,-73.873343,40.5663153
48490,1209796168,crossing,-73.9325826,40.8642506
49008,466530483,crossing,-73.8912489,40.581785
49031,2318552298,crossing,-73.9330029,40.5841819
50266,764744759,crossing,-73.9612589,40.8185083
50268,42428782,crossing,-73.9667983,40.8042152
50447,2524315628,crossing,-73.9696166,40.6727673
50477,8307641850,crossing,-74.0056475,40.726502
50615,4625620212,crossing,-73.9967889,40.7149722
50664,246866810,crossing,-74.0136925,40.7153056
50677,42444480,crossing,-74.0131281,40.7035844
