area_id,total_crimes
4,1632
7,4105
8,50
12,81
13,534
14,3429
17,5244
18,4495
20,2441
24,561
25,2569
26,2273
31,678
33,981
34,310
35,7155
36,4325
37,5425
40,822
41,4966
42,7556
43,775
45,1570
47,4062
48,4881
49,2075
50,1670
52,205
54,142
56,2134
57,248
59,215
60,2674
61,8545
62,2200
65,3704
66,806
68,3042
69,5692
70,1202
71,3205
72,4304
74,7830
75,5152
78,4571
79,2844
80,2495
82,6593
83,1513
85,2750
87,1404
88,614
89,5178
90,1721
93,739
94,2765
97,2695
100,3654
102,1211
105,3
106,577
107,2974
111,52
112,1873
113,1688
114,1508
116,3674
119,3319
120,268
125,320
126,4956
127,2490
128,70
129,6854
133,1021
136,2160
137,1271
140,697
141,2115
142,2173
143,1096
144,2482
145,2764
146,1265
147,2921
148,2796
151,1894
152,2095
153,875
157,1207
158,760
159,6743
160,1234
161,2374
162,1380
163,1458
164,1924
166,1796
167,4671
168,7227
169,5580
170,2009
173,3377
174,2757
177,4236
179,1243
181,2920
186,3696
188,3906
189,868
190,324
193,1471
194,726
195,1339
198,2779
202,215
209,355
211,2051
217,757
220,2359
223,2089
224,484
225,5243
226,2886
227,3104
228,3580
229,818
230,4169
231,2922
232,3253
233,599
234,2835
235,3612
236,1965
237,1184
238,1901
239,1382
240,701
241,2702
243,3979
244,4971
246,1150
247,5780
249,2826
255,1575
256,1857
257,366
260,1817
261,1140
262,833
263,1394
