area_id,total_services
4,7546
7,31214
8,464
12,299
13,2539
14,31292
17,25285
18,29742
20,12503
24,5955
25,15500
26,18255
31,653
33,8952
34,1351
35,18297
36,28396
37,31401
40,9344
41,30478
42,48061
43,3638
45,5284
47,22477
48,15088
49,17347
50,8229
52,2711
54,1721
56,15229
57,1338
59,330
60,12193
61,49413
62,16695
65,11897
66,10213
68,13042
69,29484
70,8470
71,15596
72,19162
74,23513
75,16731
78,22955
79,21656
80,16627
82,22289
83,11894
85,13650
87,6202
88,4941
89,47828
90,6679
93,2359
94,17440
97,13426
100,4916
102,14945
105,6
106,6236
107,11331
111,151
112,24010
113,9798
114,7154
116,32238
119,26163
120,390
125,2489
126,14222
127,23550
128,668
129,32995
133,12446
136,19620
137,6451
140,4978
141,9085
142,14070
143,6009
144,8003
145,15485
146,7266
147,12171
148,14347
151,8407
152,12207
153,5254
157,16317
158,3223
159,17269
160,14711
161,5852
162,4380
163,4368
164,7807
166,9970
167,20740
168,24302
169,29209
170,8286
173,13513
174,22639
177,14172
179,11299
181,24435
186,4176
188,36330
189,13096
190,1814
193,5673
194,567
195,5080
198,26279
202,566
209,2678
211,5148
217,4276
220,11479
223,16781
224,1548
225,25000
226,19701
227,17976
228,21929
229,4991
230,8780
231,9291
232,9705
233,4227
234,7958
235,24492
236,7061
237,6586
238,13138
239,14077
240,2446
241,29483
243,34965
244,40835
246,5053
247,20684
249,12340
255,11892
256,16990
257,6564
260,14186
261,5976
262,5387
263,7298
